journal_title,issn,e_issn,twitter,ahci,ssci,scie,has_twitter,wos_scie,wos_ssci,wos_ahci,publisher_name,account_created_date
accounting review,0001-4826,1558-7967,NA,0,1,0,0,NA,"Business, Finance",NA,AMER ACCOUNTING ASSOC,NA
accounts of chemical research,0001-4842,1520-4898,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
accreditation and quality assurance,0949-1775,1432-0517,NA,0,0,1,0,"Chemistry, Analytical | Instruments & Instrumentation",NA,NA,SPRINGER,NA
aci materials journal,0889-325X,1944-737X,NA,0,0,1,0,"Construction & Building Technology | Materials Science, Multidisciplinary",NA,NA,AMER CONCRETE INST,NA
aci structural journal,0889-3241,1944-7361,NA,0,0,1,0,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary",NA,NA,AMER CONCRETE INST,NA
acm computing surveys,0360-0300,1557-7341,NA,0,0,1,0,"Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm journal on computing and cultural heritage,1556-4673,1556-4711,NA,1,0,1,0,"Computer Science, Interdisciplinary Applications",NA,"Humanities, Multidisciplinary",ASSOC COMPUTING MACHINERY,NA
acm journal on computing and cultural heritage,1556-4673,1556-4711,NA,1,0,1,0,"Computer Science, Interdisciplinary Applications",NA,"Humanities, Multidisciplinary",ASSOC COMPUTING MACHINERY,NA
acm journal on emerging technologies in computing systems,1550-4832,1550-4840,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Engineering, Electrical & Electronic | Nanoscience & Nanotechnology",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm sigcomm computer communication review,0146-4833,1943-5819,NA,0,0,1,0,"Computer Science, Information Systems",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on algorithms,1549-6325,1549-6333,NA,0,0,1,0,"Computer Science, Theory & Methods | Mathematics, Applied",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on applied perception,1544-3558,1544-3965,NA,0,0,1,0,"Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on architecture and code optimization,1544-3566,1544-3973,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on asian and low-resource language information processing,2375-4699,2375-4702,NA,0,0,1,0,"Computer Science, Artificial Intelligence",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on autonomous and adaptive systems,1556-4665,1556-4703,NA,0,0,1,0,"Computer Science, Artificial Intelligence | Computer Science, Information Systems | Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on computational logic,1529-3785,1557-945X,NA,0,0,1,0,"Computer Science, Theory & Methods | Logic",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on computer-human interaction,1073-0516,1557-7325,acmtochi,0,0,1,1,"Computer Science, Cybernetics | Computer Science, Information Systems",NA,NA,ASSOC COMPUTING MACHINERY,9/15/2009
acm transactions on computer systems,0734-2071,1557-7333,NA,0,0,1,0,"Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on computing education,1946-6226,1946-6226,NA,0,0,1,0,"Education, Scientific Disciplines",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on database systems,0362-5915,1557-4644,NA,0,0,1,0,"Computer Science, Information Systems | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on design automation of electronic systems,1084-4309,1557-7309,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on embedded computing systems,1539-9087,1558-3465,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on graphics,0730-0301,1557-7368,NA,0,0,1,0,"Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on information systems,1046-8188,1558-2868,acmtois,0,0,1,1,"Computer Science, Information Systems",NA,NA,ASSOC COMPUTING MACHINERY,9/29/2011
acm transactions on intelligent systems and technology,2157-6904,2157-6912,ACMTIST,0,0,1,1,"Computer Science, Artificial Intelligence | Computer Science, Information Systems",NA,NA,ASSOC COMPUTING MACHINERY,8/2/2011
acm transactions on interactive intelligent systems,2160-6455,2160-6463,NA,0,0,1,0,"Computer Science, Artificial Intelligence",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on internet technology,1533-5399,1557-6051,NA,0,0,1,0,"Computer Science, Information Systems | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on knowledge discovery from data,1556-4681,1556-472X,NA,0,0,1,0,"Computer Science, Information Systems | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on mathematical software,0098-3500,1557-7295,NA,0,0,1,0,"Computer Science, Software Engineering | Mathematics, Applied",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on modeling and computer simulation,1049-3301,1558-1195,NA,0,0,1,0,"Computer Science, Interdisciplinary Applications | Mathematics, Applied",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on multimedia computing communications and applications,1551-6857,1551-6865,NA,0,0,1,0,"Computer Science, Information Systems | Computer Science, Software Engineering | Computer Science, Theory & Methods",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on privacy and security,2471-2566,2471-2574,NA,0,0,1,0,"Computer Science, Information Systems",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on programming languages and systems,0164-0925,1558-4593,NA,0,0,1,0,"Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on reconfigurable technology and systems,1936-7406,1936-7414,ACM_TRETS,0,0,1,1,"Computer Science, Hardware & Architecture",NA,NA,ASSOC COMPUTING MACHINERY,7/8/2020
acm transactions on sensor networks,1550-4859,1550-4867,NA,0,0,1,0,"Computer Science, Information Systems | Telecommunications",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on software engineering and methodology,1049-331X,1557-7392,NA,0,0,1,0,"Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on storage,1553-3077,1553-3093,NA,0,0,1,0,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,NA
acm transactions on the web,1559-1131,1559-114X,TWebACM,0,0,1,1,"Computer Science, Information Systems | Computer Science, Software Engineering",NA,NA,ASSOC COMPUTING MACHINERY,2/18/2021
acoustical physics,1063-7710,1562-6865,NA,0,0,1,0,Acoustics,NA,NA,PLEIADES PUBLISHING INC,NA
acoustics australia,0814-6039,1839-2571,NA,0,0,1,0,Acoustics,NA,NA,SPRINGER SINGAPORE PTE LTD,NA
across languages and cultures,1585-1923,1588-2519,NA,1,1,0,0,NA,Linguistics,Language & Linguistics,AKADEMIAI KIADO ZRT,NA
across languages and cultures,1585-1923,1588-2519,NA,1,1,0,0,NA,Linguistics,Language & Linguistics,AKADEMIAI KIADO ZRT,NA
acs applied electronic materials,2637-6113,2637-6113,NA,0,0,1,0,"Engineering, Electrical & Electronic | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
acs applied energy materials,2574-0962,2574-0962,ACS_AEM,0,0,1,1,"Chemistry, Physical | Energy & Fuels | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,9/27/2017
acs applied materials & interfaces,1944-8244,1944-8252,NA,0,0,1,0,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
acs applied nano materials,2574-0970,2574-0970,ACS_ANM,0,0,1,1,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,9/27/2017
acs applied polymer materials,2637-6105,2637-6105,NA,0,0,1,0,"Materials Science, Multidisciplinary | Polymer Science",NA,NA,AMER CHEMICAL SOC,NA
acs biomaterials science & engineering,2373-9878,2373-9878,ACSBiomaterials,0,0,1,1,"Materials Science, Biomaterials",NA,NA,AMER CHEMICAL SOC,1/7/2015
acs catalysis,2155-5435,2155-5435,ACSCatalysis,0,0,1,1,"Chemistry, Physical",NA,NA,AMER CHEMICAL SOC,5/17/2011
acs central science,2374-7943,2374-7951,ACSCentSci,0,0,1,1,"Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,11/7/2013
acs chemical biology,1554-8929,1554-8937,NA,0,0,1,0,Biochemistry & Molecular Biology,NA,NA,AMER CHEMICAL SOC,NA
acs chemical neuroscience,1948-7193,1948-7193,ACSChemNeurosci,0,0,1,1,"Biochemistry & Molecular Biology | Chemistry, Medicinal | Neurosciences",NA,NA,AMER CHEMICAL SOC,8/7/2009
acs combinatorial science,2156-8952,2156-8944,NA,0,0,1,0,"Chemistry, Applied | Chemistry, Medicinal | Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
acs earth and space chemistry,2472-3452,2472-3452,ACSEarthSpace,0,0,1,1,"Chemistry, Multidisciplinary | Geochemistry & Geophysics",NA,NA,AMER CHEMICAL SOC,10/14/2016
acs energy letters,2380-8195,2380-8195,NA,0,0,1,0,"Chemistry, Physical | Electrochemistry | Energy & Fuels | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
acs infectious diseases,2373-8227,2373-8227,ACS_Infectious,0,0,1,1,"Chemistry, Medicinal | Infectious Diseases",NA,NA,AMER CHEMICAL SOC,12/15/2014
acs macro letters,2161-1653,2161-1653,ACSMacroLett,0,0,1,1,Polymer Science,NA,NA,AMER CHEMICAL SOC,2/8/2013
acs materials letters,2639-4979,2639-4979,ACSMatLett,0,0,1,1,"Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,2/15/2019
acs medicinal chemistry letters,1948-5875,1948-5875,NA,0,0,1,0,"Chemistry, Medicinal",NA,NA,AMER CHEMICAL SOC,NA
acs nano,1936-0851,1936-086X,acsnano,0,0,1,1,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,3/5/2009
acs omega,2470-1343,2470-1343,ACS_Omega,0,0,1,1,"Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,4/27/2016
acs photonics,2330-4022,2330-4022,ACSPhotonics,0,0,1,1,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Optics | Physics, Applied | Physics, Condensed Matter",NA,NA,AMER CHEMICAL SOC,3/17/2014
acs sensors,2379-3694,2379-3694,ACS_Sensors,0,0,1,1,"Chemistry, Multidisciplinary | Chemistry, Analytical | Nanoscience & Nanotechnology",NA,NA,AMER CHEMICAL SOC,1/7/2016
acs sustainable chemistry & engineering,2168-0485,2168-0485,ACSSustainable,0,0,1,1,"Chemistry, Multidisciplinary | Green & Sustainable Science & Technology | Engineering, Chemical",NA,NA,AMER CHEMICAL SOC,11/30/2015
acs synthetic biology,2161-5063,2161-5063,ACSSynBio,0,0,1,1,Biochemical Research Methods,NA,NA,AMER CHEMICAL SOC,6/20/2012
acsms health & fitness journal,1091-5397,1536-593X,NA,0,0,1,0,Sport Sciences,NA,NA,LIPPINCOTT WILLIAMS & WILKINS,NA
acta acustica,1022-4793,2681-4617,ActaAcustica,0,0,1,1,Acoustics,NA,NA,EDP SCIENCES S A,4/16/2021
acta adriatica,0001-5113,1846-0453,NA,0,0,1,0,Marine & Freshwater Biology | Oceanography,NA,NA,INST OCEANOGRAFIJU I RIBARSTVO,NA
acta agriculturae scandinavica section a-animal science,0906-4702,1651-1972,NA,0,0,1,0,"Agriculture, Dairy & Animal Science",NA,NA,TAYLOR & FRANCIS AS,NA
acta agriculturae scandinavica section b-soil and plant science,0906-4710,1651-1913,NA,0,0,1,0,Agronomy | Soil Science,NA,NA,TAYLOR & FRANCIS AS,NA
acta alimentaria,0139-3006,1588-2535,NA,0,0,1,0,Food Science & Technology | Nutrition & Dietetics,NA,NA,AKADEMIAI KIADO ZRT,NA
acta amazonica,0044-5967,1809-4392,NA,0,0,1,0,Plant Sciences | Ecology | Zoology,NA,NA,INST NACIONAL PESQUISAS AMAZONIA,NA
acta anaesthesiologica scandinavica,0001-5172,1399-6576,NA,0,0,1,0,Anesthesiology,NA,NA,WILEY,NA
acta analytica-international periodical for philosophy in the analytical tradition,0353-5150,1874-6349,NA,1,0,0,0,NA,NA,Philosophy,SPRINGER,NA
acta applicandae mathematicae,0167-8019,1572-9036,NA,0,0,1,0,"Mathematics, Applied",NA,NA,SPRINGER,NA
acta archaeologica,0065-101X,1600-0390,NA,1,0,0,0,NA,NA,Archaeology,WILEY,NA
acta arithmetica,0065-1036,1730-6264,NA,0,0,1,0,Mathematics,NA,NA,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN,NA
acta astronautica,0094-5765,1879-2030,NA,0,0,1,0,"Engineering, Aerospace",NA,NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
acta astronomica,0001-5237,0001-5237,NA,0,0,1,0,Astronomy & Astrophysics,NA,NA,COPERNICUS FOUNDATION POLISH  ASTRONOMY,NA
acta biochimica et biophysica sinica,1672-9145,1745-7270,NA,0,0,1,0,Biochemistry & Molecular Biology | Biophysics,NA,NA,OXFORD UNIV PRESS,NA
acta biochimica polonica,0001-527X,1734-154X,NA,0,0,1,0,Biochemistry & Molecular Biology,NA,NA,ACTA BIOCHIMICA POLONICA,NA
acta bioethica,1726-569X,1726-569X,NA,0,1,1,0,Medical Ethics,"Ethics | Social Sciences, Biomedical",NA,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",NA
acta bioethica,1726-569X,1726-569X,NA,0,1,1,0,Medical Ethics,"Ethics | Social Sciences, Biomedical",NA,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA",NA
acta biologica colombiana,1900-1649,1900-1649,RevistaABC,0,0,1,1,Plant Sciences | Zoology,NA,NA,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL",2/18/2013
acta biologica cracoviensia series botanica,0001-5296,1898-0295,NA,0,0,1,0,Plant Sciences,NA,NA,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW",NA
acta biomaterialia,1742-7061,1878-7568,ActaBio,0,0,1,1,"Engineering, Biomedical | Materials Science, Biomaterials",NA,NA,ELSEVIER SCI LTD,12/4/2013
acta bioquimica clinica latinoamericana,0325-2957,1851-6114,NA,0,0,1,0,Medical Laboratory Technology,NA,NA,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,NA
acta biotheoretica,0001-5342,1572-8358,NA,0,0,1,0,Mathematical & Computational Biology,NA,NA,SPRINGER,NA
acta borealia,0800-3831,1503-111X,NA,1,0,0,0,NA,NA,"Humanities, Multidisciplinary","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
acta botanica brasilica,0102-3306,1677-941X,abbrasilica,0,0,1,1,Plant Sciences,NA,NA,SOC BOTANICA BRASIL,12/14/2017
acta botanica croatica,0365-0588,1847-8476,ActaBotCro,0,0,1,1,Plant Sciences,NA,NA,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY",1/5/2016
acta botanica mexicana,0187-7151,2448-7589,ActaBotMex,0,0,1,1,Plant Sciences,NA,NA,INST ECOLOGIA AC,9/24/2012
acta cardiologica,0001-5385,1784-973X,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,TAYLOR & FRANCIS LTD,NA
acta cardiologica sinica,1011-6842,NA,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,TAIWAN SOC CARDIOLOGY,NA
acta carsologica,0583-6050,1580-2612,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,KARST RESEARCH INST ZRC SAZU,NA
acta chimica sinica,0567-7351,NA,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SCIENCE PRESS,NA
acta chimica slovenica,1318-0207,1580-3155,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,SLOVENSKO KEMIJSKO DRUSTVO,NA
acta chiropterologica,1508-1109,1733-5329,ActaChiroptero1,0,0,1,1,Zoology,NA,NA,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,NA
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,0001-5415,NA,NA,0,0,1,0,Orthopedics,NA,NA,GALEN SRO,NA
acta chirurgica belgica,0001-5458,0001-5458,NA,0,0,1,0,Surgery,NA,NA,TAYLOR & FRANCIS LTD,NA
acta chromatographica,1233-2356,2083-5736,NA,0,0,1,0,"Chemistry, Analytical",NA,NA,AKADEMIAI KIADO ZRT,NA
acta cirurgica brasileira,0102-8650,1678-2674,ActaCirurgicaBR,0,0,1,1,Surgery,NA,NA,ACTA CIRURGICA BRASILEIRA,2/18/2022
acta classica,0065-1141,2227-538X,NA,1,0,0,0,NA,NA,Classics,"UNIV FREE STATE, DEPT ENG CLASSICAL LANG",NA
acta clinica belgica,1784-3286,2295-3337,ActaClinica,0,0,1,1,"Medicine, General & Internal",NA,NA,TAYLOR & FRANCIS LTD,1/6/2015
acta clinica croatica,0353-9466,1333-9451,NA,0,0,1,0,"Medicine, General & Internal",NA,NA,SESTRE MILOSRDNICE UNIV HOSPITAL,NA
acta crystallographica a-foundation and advances,2053-2733,2053-2733,ActaCrystA,0,0,1,1,"Chemistry, Multidisciplinary | Crystallography",NA,NA,INT UNION CRYSTALLOGRAPHY,5/22/2012
acta crystallographica section b-structural science crystal engineering and materials,2052-5206,2052-5206,ActaCrystB,0,0,1,1,"Chemistry, Multidisciplinary | Crystallography",NA,NA,INT UNION CRYSTALLOGRAPHY,5/22/2012
acta crystallographica section c-structural chemistry,2053-2296,2053-2296,ActaCrystC,0,0,1,1,"Chemistry, Multidisciplinary | Crystallography",NA,NA,INT UNION CRYSTALLOGRAPHY,5/22/2012
acta crystallographica section d-structural biology,2059-7983,2059-7983,ActaCrystD,0,0,1,1,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography,NA,NA,INT UNION CRYSTALLOGRAPHY,5/22/2012
acta crystallographica section f-structural biology communications,2053-230X,2053-230X,ActaCrystF,0,0,1,1,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography,NA,NA,INT UNION CRYSTALLOGRAPHY,5/22/2012
acta cytologica,0001-5547,1938-2650,NA,0,0,1,0,Pathology,NA,NA,KARGER,NA
acta dermato-venereologica,0001-5555,1651-2057,NA,0,0,1,0,Dermatology,NA,NA,ACTA DERMATO-VENEREOLOGICA,NA
acta dermatovenerologica croatica,1330-027X,1847-6538,NA,0,0,1,0,Dermatology,NA,NA,CROATION DERMATOVENEROLOGICAL SOC,NA
acta diabetologica,0940-5429,1432-5233,NA,0,0,1,0,Endocrinology & Metabolism,NA,NA,SPRINGER-VERLAG ITALIA SRL,NA
acta endocrinologica-bucharest,1841-0987,1843-066X,NA,0,0,1,0,Endocrinology & Metabolism,NA,NA,EDITURA ACAD ROMANE,NA
acta entomologica musei nationalis pragae,0374-1036,1804-6487,ActaEntomol,0,0,1,1,Entomology,NA,NA,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM,3/20/2018
acta ethologica,0873-9749,1437-9546,NA,0,0,1,0,Behavioral Sciences | Zoology,NA,NA,SPRINGER HEIDELBERG,NA
acta gastro-enterologica belgica,1784-3227,NA,NA,0,0,1,0,Gastroenterology & Hepatology,NA,NA,UNIV CATHOLIQUE LOUVAIN-UCL,NA
acta geodaetica et geophysica,2213-5812,2213-5820,NA,0,0,1,0,Geochemistry & Geophysics,NA,NA,SPRINGER,NA
acta geodynamica et geomaterialia,1214-9705,NA,NA,0,0,1,0,Geochemistry & Geophysics | Mining & Mineral Processing,NA,NA,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS,NA
acta geographica slovenica-geografski zbornik,1581-6613,1854-5106,NA,0,0,1,0,"Geography, Physical",NA,NA,GEOGRAFSKI INST ANTONA MELIKA ZRC SAZU,NA
acta geologica polonica,0001-5709,2300-1887,NA,0,0,1,0,Geology,NA,NA,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT",NA
acta geologica sinica-english edition,1000-9515,1755-6724,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,WILEY,NA
acta geophysica,1895-6572,1895-7455,AGeophysica,0,0,1,1,Geochemistry & Geophysics,NA,NA,SPRINGER INT PUBL AG,7/21/2021
acta geotechnica,1861-1125,1861-1133,NA,0,0,1,0,"Engineering, Geological",NA,NA,SPRINGER HEIDELBERG,NA
acta geotechnica slovenica,1854-0171,NA,NA,0,0,1,0,"Engineering, Geological",NA,NA,UNIV MARIBOR,NA
acta haematologica,0001-5792,1421-9662,NA,0,0,1,0,Hematology,NA,NA,KARGER,NA
acta herpetologica,1827-9635,1827-9643,NA,0,0,1,0,Zoology,NA,NA,FIRENZE UNIV PRESS,NA
acta histochemica,0065-1281,1618-0372,NA,0,0,1,0,Cell Biology,NA,NA,ELSEVIER GMBH,NA
acta histochemica et cytochemica,0044-5991,1347-5800,NA,0,0,1,0,Cell Biology,NA,NA,JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY,NA
acta historica tallinnensia,1406-2925,1736-7476,NA,1,0,0,0,NA,NA,History,ESTONIAN ACAD PUBLISHERS,NA
acta histriae,1318-0185,2591-1767,NA,1,1,0,0,NA,History,History,HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP,NA
acta histriae,1318-0185,2591-1767,NA,1,1,0,0,NA,History,History,HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP,NA
